month,year,fuel,production,factory,type,fuel_unit,production_unit
1,2017,3603.55,200905.30,MAK_knit,Propane,kilograms,kilograms
2,2017,16010.19,179995.05,MAK_knit,Propane,kilograms,kilograms
3,2017,17297.24,179104.85,MAK_knit,Propane,kilograms,kilograms
4,2017,16213.32,199478.05,MAK_knit,Propane,kilograms,kilograms
5,2017,22960.72,207776.63,MAK_knit,Propane,kilograms,kilograms
6,2017,19459.31,180886.60,MAK_knit,Propane,kilograms,kilograms
7,2017,12506.62,193723.30,MAK_knit,Propane,kilograms,kilograms
8,2017,13358.30,109630.55,MAK_knit,Propane,kilograms,kilograms
8,2017,11454.44,150905.27,MAK_knit,Propane,kilograms,kilograms
10,2017,17449.59,159741.96,MAK_knit,Propane,kilograms,kilograms
11,2017,12786.99,94745.30,MAK_knit,Propane,kilograms,kilograms
12,2017,12949.92,208273.29,MAK_knit,Propane,kilograms,kilograms
1,2018,4765.23,191471.02,MAK_knit,Propane,kilograms,kilograms
2,2018,17910.81,207567.83,MAK_knit,Propane,kilograms,kilograms
3,2018,21071.13,200696.98,MAK_knit,Propane,kilograms,kilograms
4,2018,10257.31,124003.1,MAK_knit,Propane,kilograms,kilograms
5,2018,4549.4,148910.5,MAK_knit,Propane,kilograms,kilograms