month,year,quant_meters,quant_garments,factory
1,2017,832.0,194750.0,SalsaPrint
2,2017,72275.0,247012.0,SalsaPrint
3,2017,84400.0,193446.0,SalsaPrint
4,2017,50434.0,324239.0,SalsaPrint
5,2017,274525.0,163670.0,SalsaPrint
6,2017,148157.0,112913.0,SalsaPrint
7,2017,240292.0,181998.0,SalsaPrint
8,2017,206862.0,53665.0,SalsaPrint
9,2017,261828.0,53199.0,SalsaPrint
10,2017,143873.0,70830.0,SalsaPrint
11,2017,0.0,48866.0,SalsaPrint
12,2017,122984.0,24876.0,SalsaPrint
1,2018,166681.0,120445.0,SalsaPrint
2,2018,128830.0,245631.0,SalsaPrint
3,2018,65944.0,371262.0,SalsaPrint
4,2018,64403.0,273238.0,SalsaPrint
5,2018,35087.0,218034.0,SalsaPrint
6,2018,26359.0,241387.0,SalsaPrint
7,2018,47247.0,434851.0,SalsaPrint
8,2018,10516.0,201128.0,SalsaPrint
9,2018,38479.0,201889.0,SalsaPrint
10,2018,246019.0,218345.0,SalsaPrint
11,2018,67109.0,34568.0,SalsaPrint
12,2018,,,SalsaPrint