month,year,quant,factory,type,unit
8,2016,54.02,MAK_cut,gas_oil,Kg
9,2016,107.41,MAK_cut,gas_oil,Kg
10,2016,55.07,MAK_cut,gas_oil,Kg
11,2016,54.35,MAK_cut,gas_oil,Kg
12,2016,219,MAK_cut,gas_oil,Kg
1,2017,315.35,MAK_cut,gas_oil,Kg
2,2017,265.12,MAK_cut,gas_oil,Kg
3,2017,263.83,MAK_cut,gas_oil,Kg
4,2017,271.92,MAK_cut,gas_oil,Kg
5,2017,216.98,MAK_cut,gas_oil,Kg
6,2017,109.17,MAK_cut,gas_oil,Kg
7,2017,227.85,MAK_cut,gas_oil,Kg
8,2017,165.53,MAK_cut,gas_oil,Kg
8,2017,161.64,MAK_cut,gas_oil,Kg
10,2017,265.4,MAK_cut,gas_oil,Kg
11,2017,51.49,MAK_cut,gas_oil,Kg
12,2017,206.88,MAK_cut,gas_oil,Kg
1,2018,203.71,MAK_cut,gas_oil,Kg
2,2018,200.75,MAK_cut,gas_oil,Kg
3,2018,206.77,MAK_cut,gas_oil,Kg
4,2018,361.2,MAK_cut,gas_oil,Kg
5,2018,201.01,MAK_cut,gas_oil,Kg
6,2018,150.45,MAK_cut,gas_oil,Kg