month,year,quant,factory,type,supplier,unit
1,2016,16679.37,MAK_rame,Propane,Afriquia,Liters
2,2016,19886.32,MAK_rame,Propane,Afriquia,Liters
3,2016,14194.13,MAK_rame,Propane,Afriquia,Liters
4,2016,10791.6,MAK_rame,Propane,Afriquia,Liters
5,2016,19039.24,MAK_rame,Propane,Afriquia,Liters
6,2016,17124.26,MAK_rame,Propane,Afriquia,Liters
7,2016,11798.29,MAK_rame,Propane,Afriquia,Liters
8,2016,11328.01,MAK_rame,Propane,Afriquia,Liters
9,2016,12804.45,MAK_rame,Propane,Afriquia,Liters
10,2016,16831.19,MAK_rame,Propane,Afriquia,Liters
11,2016,12764.77,MAK_rame,Propane,Afriquia,Liters
12,2016,0,MAK_rame,Propane,Afriquia,Liters
1,2017,3603.55,MAK_rame,Propane,Afriquia,Liters
2,2017,16010.19,MAK_rame,Propane,Afriquia,Liters
3,2017,17297.24,MAK_rame,Propane,Afriquia,Liters
4,2017,16213.32,MAK_rame,Propane,Afriquia,Liters
5,2017,22960.72,MAK_rame,Propane,Afriquia,Liters
6,2017,19459.31,MAK_rame,Propane,Afriquia,Liters
7,2017,12506.62,MAK_rame,Propane,Afriquia,Liters
8,2017,13358.3,MAK_rame,Propane,Afriquia,Liters
8,2017,11454.44,MAK_rame,Propane,Afriquia,Liters
10,2017,17449.59,MAK_rame,Propane,Afriquia,Liters
11,2017,12786.99,MAK_rame,Propane,Afriquia,Liters
12,2017,12949.92,MAK_rame,Propane,Afriquia,Liters
1,2018,4765.23,MAK_rame,Propane,Afriquia,Liters
2,2018,17910.81,MAK_rame,Propane,Afriquia,Liters
3,2018,21071.13,MAK_rame,Propane,Afriquia,Liters
4,2018,10257.31,MAK_rame,Propane,Afriquia,Liters
5,2018,4549.4,MAK_rame,Propane,Afriquia,Liters